file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	0.004038	1253	1839	Nocardioides
kaiju_nr_euk_greedy.out	0.004016	1246	123375	Solobacterium
kaiju_nr_euk_greedy.out	0.003974	1233	34084	Riemerella
kaiju_nr_euk_greedy.out	0.003974	1233	202746	Sulfurimonas
kaiju_nr_euk_greedy.out	0.003964	1230	2077	Sporolactobacillus
kaiju_nr_euk_greedy.out	0.003945	1224	149698	Massilia
kaiju_nr_euk_greedy.out	0.003897	1209	2211178	Evtepia
kaiju_nr_euk_greedy.out	0.003880	1204	2304693	Pseudoclostridium
kaiju_nr_euk_greedy.out	0.003864	1199	332102	Fluviicola
kaiju_nr_euk_greedy.out	0.003861	1198	1647173	Acetobacteroides
kaiju_nr_euk_greedy.out	0.003835	1190	1918542	Muricomes
kaiju_nr_euk_greedy.out	0.003829	1188	2563777	Lactimicrobium
kaiju_nr_euk_greedy.out	0.003816	1184	112902	Propionispora
kaiju_nr_euk_greedy.out	0.003806	1181	105	Runella
kaiju_nr_euk_greedy.out	0.003774	1171	1470349	Candidatus Stoquefichus
kaiju_nr_euk_greedy.out	0.003771	1170	1379908	Rufibacter
kaiju_nr_euk_greedy.out	0.003748	1163	308865	Elizabethkingia
kaiju_nr_euk_greedy.out	0.003735	1159	44000	Caldicellulosiruptor
kaiju_nr_euk_greedy.out	0.003726	1156	2747	Carnobacterium
kaiju_nr_euk_greedy.out	0.003723	1155	1375	Aerococcus
kaiju_nr_euk_greedy.out	0.003706	1150	115543	Parasporobacterium
kaiju_nr_euk_greedy.out	0.003687	1144	657	Photobacterium
kaiju_nr_euk_greedy.out	0.003671	1139	178469	Arenibacter
kaiju_nr_euk_greedy.out	0.003668	1138	1769012	Arachidicoccus
kaiju_nr_euk_greedy.out	0.003648	1132	172900	Victivallis
kaiju_nr_euk_greedy.out	0.003645	1131	33986	Exiguobacterium
kaiju_nr_euk_greedy.out	0.003613	1121	253255	Soehngenia
kaiju_nr_euk_greedy.out	0.003590	1114	1129	Synechococcus
kaiju_nr_euk_greedy.out	0.003590	1114	363408	Nonlabens
kaiju_nr_euk_greedy.out	0.003574	1109	44260	Moorella
kaiju_nr_euk_greedy.out	0.003561	1105	2304691	Thermoclostridium
kaiju_nr_euk_greedy.out	0.003542	1099	1159323	Macellibacteroides
kaiju_nr_euk_greedy.out	0.003494	1084	508459	Cloacibacillus
kaiju_nr_euk_greedy.out	0.003490	1083	2207	Methanosarcina
kaiju_nr_euk_greedy.out	0.003490	1083	1935192	Mobilibacterium
kaiju_nr_euk_greedy.out	0.003478	1079	253238	Ethanoligenens
kaiju_nr_euk_greedy.out	0.003423	1062	1573535	Holdemanella
kaiju_nr_euk_greedy.out	0.003403	1056	475	Moraxella
kaiju_nr_euk_greedy.out	0.003403	1056	1481960	Peptoclostridium
kaiju_nr_euk_greedy.out	0.003397	1054	1279388	Kandleria
kaiju_nr_euk_greedy.out	0.003394	1053	893	Desulfobulbus
kaiju_nr_euk_greedy.out	0.003394	1053	28138	Rikenella
kaiju_nr_euk_greedy.out	0.003381	1049	1813	Amycolatopsis
kaiju_nr_euk_greedy.out	0.003355	1041	1912503	Candidatus Izimaplasma
kaiju_nr_euk_greedy.out	0.003339	1036	1434023	Natranaerovirga
kaiju_nr_euk_greedy.out	0.003310	1027	1472649	Dielma
kaiju_nr_euk_greedy.out	0.003287	1020	1091	Chlorobium
kaiju_nr_euk_greedy.out	0.003271	1015	76008	Fusibacter
kaiju_nr_euk_greedy.out	0.003246	1007	41273	Tissierella
kaiju_nr_euk_greedy.out	0.003246	1007	649460	Filimonas
kaiju_nr_euk_greedy.out	0.003213	997	866673	Marinifilum
kaiju_nr_euk_greedy.out	0.003194	991	177399	Anaerophaga
kaiju_nr_euk_greedy.out	0.003181	987	517	Bordetella
kaiju_nr_euk_greedy.out	0.003181	987	2742	Marinobacter
kaiju_nr_euk_greedy.out	0.003168	983	1778601	Apibacter
kaiju_nr_euk_greedy.out	0.003149	977	66831	Facklamia
